n_step,ijk,num_load,A1,A2,A3,A4,Tup,Tmid,Tdown,23x,23y,23z,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
20,1,31,0.0578125,0.1828125,0.1515625,0.0578125,0,0,0,-5.246682e+01,-4.467715e+01,-1.370715e+02,1.318307e+00,4.224645e-01,     0,3.540062e-01,     0,2.617979e-01,2.569201e-01,     0,4.536027e-01,5.687091e-01,3.123808e-01,3.898357e-01,5.980328e-01,2.500397e-01,2.703580e-01,1.812540e-01,     0,4.203206e-02,1.076298e-01,2.345435e-01,1.523825e-01,1.678277e-01,     0,     0,     0,2.122798e-02,3.609797e-02,3.284378e-02,6.197023e-01,8.504429e-01,9.465151e-01,5.877552e-01
16,1,32,0.06171875,0.1164063,0.2023437,0.06171875,0,0,0,-4.224499e+01,-4.132134e+01,-1.240749e+02,1.263567e+00,4.132557e-01,     0,3.446609e-01,     0,2.846945e-01,3.066110e-01,     0,5.220781e-01,6.702746e-01,1.913845e-01,2.704043e-01,4.863338e-01,1.738044e-01,1.580621e-01,1.351176e-01,     0,1.445160e-02,1.088846e-01,1.588294e-01,1.430793e-01,1.851064e-01,     0,     0,1.428422e-01,     0,1.239333e-01,6.194529e-02,5.642252e-01,7.448361e-01,9.062071e-01,5.806241e-01
12,1,33,0.1867187,0.2414062,0.07734375,0.1867187,0,0,0,-4.678965e+01,-3.932935e+01,8.114530e+01,1.357638e+02,1.500202e+02,     0,1.279504e+02,     0,4.233826e+01,4.615695e+01,1.284203e+02,1.001328e+02,9.199680e+01,2.710248e+02,2.469072e+02,2.391916e+02,1.119704e+02,1.241378e+02,1.202981e+02,4.980731e+01,2.958283e+01,2.252552e+01,3.323787e+01,1.844008e+01,2.747825e+00,     0,1.126506e+02,     0,1.137547e+02,     0,     0,2.170873e+02,3.007999e+02,2.849796e+02,2.101758e+02
9,1,34,0.2492187,0.05390625,0.1398437,0.2492187,0,0,0,-5.481229e+01,-3.443930e+01,8.247896e+01,3.440939e+02,2.670569e+02,     0,1.734896e+02,     0,2.297684e+02,2.102307e+02,5.322148e+02,5.444367e+02,5.549443e+02,3.159867e+02,3.316498e+02,3.427257e+02,1.378589e+02,1.296615e+02,1.164053e+02,3.897828e+01,6.917562e+01,6.593360e+01,6.493932e+01,7.788661e+01,7.285935e+01,     0,1.421958e+00,2.061556e+02,     0,2.351473e+02,1.506206e+02,4.968749e+02,6.966196e+02,6.976579e+02,4.878861e+02
13,1,35,0.1242188,0.1789062,0.2648437,0.1242188,0,0,0,-2.076994e+01,-5.461685e+01,-5.879573e+01,1.517894e+00,5.486748e-01,     0,4.790385e-01,     0,4.169198e-01,3.642645e-01,2.282719e-01,7.405670e-01,8.897510e-01,3.463563e-01,4.272772e-01,7.836440e-01,2.269653e-01,2.590430e-01,1.606770e-01,     0,4.506277e-02,1.616107e-01,2.152680e-01,2.357582e-01,2.991626e-01,     0,     0,1.042221e-01,     0,1.382403e-01,5.589546e-02,7.543390e-01,1.110461e+00,1.302411e+00,7.038724e-01
11,1,36,0.1554687,0.08515625,0.1085938,0.1554687,0,0,0,-3.229223e+01,-3.388219e+01,6.485384e+01,1.651783e+02,1.357532e+02,     0,1.047252e+02,     0,1.126939e+02,1.136133e+02,2.118854e+02,2.195858e+02,2.167974e+02,1.565263e+02,1.622031e+02,1.591398e+02,8.284576e+01,8.042175e+01,8.183293e+01,2.151079e+01,2.844779e+01,2.626748e+01,2.529355e+01,2.964034e+01,2.664765e+01,     0,5.440996e+00,5.833621e+01,2.046747e+00,6.389266e+01,4.904446e+01,2.565421e+02,3.190673e+02,3.200967e+02,2.568179e+02
30,2,37,0.2804687,0.2101562,0.2335937,0.2804687,0,0,0,-1.779198e+02,-9.836877e+00,3.348110e+00,1.740669e+02,5.283759e+02,     0,2.945776e+02,     0,     0,5.170584e+01,2.336709e+02,     0,4.227893e+02,2.919632e+02,     0,4.085073e+02,2.038223e+01,1.442195e+02,2.099819e+02,6.899292e+01,2.908413e+03,1.530640e+02,1.710592e+02,3.599607e+03,     0,     0,2.745945e+02,     0,3.602046e+02,     0,2.523237e+02,3.451698e+02,1.596715e+02,     0,4.880238e+02
15,1,38,0.2179687,0.1476562,0.2960937,0.2179687,0,0,0,-8.056575e+01,-2.994694e+01,1.069508e+02,1.392885e+02,1.145231e+02,     0,8.621123e+01,     0,1.114658e+02,9.069211e+01,2.247085e+02,1.968993e+02,2.323876e+02,8.402946e+01,7.720780e+01,1.221889e+02,3.565857e+01,3.885686e+01,2.207207e+01,1.791950e+01,1.909101e+01,3.606558e+01,2.350114e+01,2.804175e+01,5.221887e+01,     0,     0,9.005425e+01,     0,8.941471e+01,3.765087e+01,1.578481e+02,2.452935e+02,2.595634e+02,1.628665e+02
19,1,39,0.09296875,0.2726562,0.1710937,0.09296875,0,0,0,-5.100130e+01,-4.039881e+01,-1.256978e+02,1.333039e+00,3.980637e-01,     0,3.493404e-01,     0,2.387557e-01,2.368899e-01,     0,3.371782e-01,5.208305e-01,3.799505e-01,3.593812e-01,6.255980e-01,2.690752e-01,3.158692e-01,1.598468e-01,     0,2.286406e-02,1.138681e-01,2.652800e-01,1.348103e-01,1.801345e-01,     0,     0,     0,5.754909e-02,3.193561e-02,1.719157e-02,5.633193e-01,8.475698e-01,9.147670e-01,5.050190e-01
13,1,40,0.1085938,0.06953125,0.2492187,0.1085938,0,0,0,-2.143682e+01,-3.471872e+01,5.609191e+01,3.564357e+01,2.213407e+01,     0,1.856697e+01,     0,2.375814e+01,2.748076e+01,4.329091e+01,4.711712e+01,4.837593e+01,1.007521e+01,9.584589e+00,1.285659e+01,6.088748e+00,3.603705e+00,5.177198e+00,     0,6.685369e-01,5.576923e+00,1.932473e+00,3.155424e+00,8.522081e+00,     0,     0,2.840900e+01,     0,2.396467e+01,1.034700e+01,3.440973e+01,4.245511e+01,4.706283e+01,3.873567e+01
