1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2.965462e+01,2.860980e+01,     0,2.292070e+01,     0,1.998945e+01,1.681127e+01,3.709449e+01,3.151906e+01,3.517945e+01,3.486522e+01,3.125233e+01,3.731616e+01,1.682719e+01,1.987641e+01,1.495585e+01,6.829991e+00,5.655599e+00,6.844871e+00,6.962509e+00,5.802471e+00,7.033255e+00,     0,3.195480e+00,3.200691e+00,3.001970e+00,3.427315e+00,3.038277e+00,4.348419e+01,6.065507e+01,6.072783e+01,4.337082e+01
1.927532e+02,1.370083e+02,     0,1.124062e+02,     0,1.288894e+02,1.399531e+02,2.558580e+02,2.606338e+02,2.509887e+02,1.497748e+02,1.510178e+02,1.479500e+02,7.060746e+01,6.783025e+01,7.744462e+01,2.487317e+01,3.284074e+01,3.388693e+01,1.757368e+01,2.336304e+01,2.548731e+01,     0,     0,9.472769e+01,     0,9.895876e+01,6.365939e+01,2.648574e+02,3.377093e+02,3.387524e+02,2.698083e+02
3.666369e+01,4.470101e+01,     0,2.943067e+01,     0,7.210329e+00,6.043032e+00,3.143679e+01,2.102143e+01,1.908493e+01,7.923513e+01,7.529976e+01,8.445759e+01,4.776716e+01,4.007854e+01,2.766199e+01,1.228421e+01,1.886542e+00,7.680855e-01,1.722979e+01,9.225060e+00,3.728479e+00,     0,3.426197e+01,     0,3.784160e+01,     0,     0,5.736610e+01,8.763025e+01,8.153398e+01,4.930254e+01
2.172877e+02,1.618342e+02,     0,1.277184e+02,     0,1.557383e+02,1.403279e+02,3.306363e+02,2.923198e+02,3.121157e+02,1.896082e+02,1.749658e+02,2.066550e+02,7.292152e+01,8.548151e+01,6.675648e+01,4.098766e+01,4.625159e+01,5.394205e+01,3.480808e+01,3.527608e+01,4.499011e+01,     0,     0,9.999730e+01,     0,1.122599e+02,6.664383e+01,2.815204e+02,4.167919e+02,4.164384e+02,2.823995e+02
1.796490e+00,2.346953e+02,     0,1.082870e+02,     0,2.849690e+02,1.158148e+02,     0,2.099638e+02,     0,1.184293e+00,     0,1.345492e+02,1.140635e+00,1.842961e+00,5.203593e+00,     0,2.829705e-01,5.939649e+00,1.001804e+00,2.602311e-01,2.172910e+00,     0,     0,5.027086e-01,     0,     0,1.122947e+02,     0,1.351031e-01,2.887092e+02,     0
2.651579e+00,1.274827e+00,     0,1.128846e+00,     0,1.074089e+00,1.211753e+00,1.653271e+00,2.168964e+00,2.256174e+00,9.023723e-01,9.926366e-01,1.313577e+00,5.035228e-01,4.019544e-01,4.489048e-01,1.504504e-01,2.348984e-01,4.021605e-01,1.837100e-01,2.555729e-01,4.297017e-01,     0,     0,7.953558e-01,     0,6.531616e-01,3.057769e-01,1.896114e+00,2.616484e+00,2.895435e+00,2.020951e+00
8.361673e+01,6.033660e+01,     0,5.800673e+01,     0,7.830401e+01,6.035985e+01,1.492780e+02,1.020952e+02,1.278892e+02,6.357947e+01,4.870974e+01,9.173209e+01,1.975688e+01,3.050175e+01,1.111713e+01,2.614372e+01,2.144169e+01,3.101621e+01,1.736001e+01,1.277808e+01,3.128279e+01,     0,     0,3.666218e+01,     0,4.441607e+01,1.705099e+01,8.542080e+01,1.661161e+02,1.663911e+02,8.517042e+01
1.615358e+02,2.389177e+02,     0,1.615942e+02,     0,5.648039e+01,5.897073e+01,1.473191e+02,1.429632e+02,1.350034e+02,3.632381e+02,3.770481e+02,3.772164e+02,2.031941e+02,1.731974e+02,1.708652e+02,3.157261e+01,1.189677e+01,4.013578e-01,5.648134e+01,4.038698e+01,2.045625e+01,     0,1.956816e+02,     0,1.974163e+02,     0,     0,3.141984e+02,4.172356e+02,4.082059e+02,2.910101e+02
2.661350e+01,1.946942e+01,     0,1.733102e+01,     0,1.959695e+01,1.842937e+01,3.819183e+01,3.209980e+01,3.589182e+01,1.737956e+01,1.503220e+01,2.212358e+01,6.198885e+00,7.273965e+00,5.648620e+00,5.271698e+00,5.119356e+00,7.504430e+00,3.198737e+00,3.231227e+00,7.062764e+00,     0,     0,1.160489e+01,     0,1.086329e+01,4.703479e+00,2.827322e+01,4.427773e+01,4.579934e+01,2.973952e+01
1.429925e+02,1.840940e+02,     0,1.460290e+02,     0,7.658680e+01,8.520410e+01,1.555183e+02,1.674005e+02,1.566273e+02,2.442082e+02,2.597059e+02,2.407486e+02,1.417559e+02,1.279671e+02,1.398159e+02,2.359886e+01,2.467982e+01,1.774317e+01,3.120391e+01,3.351901e+01,2.241364e+01,     0,9.055358e+01,     0,8.495741e+01,     0,9.739677e+00,2.857356e+02,3.456701e+02,3.457279e+02,2.832499e+02
1.930684e+02,2.380991e+02,     0,1.627890e+02,     0,1.280027e+02,9.264980e+01,2.973426e+02,2.131731e+02,2.470024e+02,3.789186e+02,3.193041e+02,4.134552e+02,1.501460e+02,2.006703e+02,1.158490e+02,6.971680e+01,5.014015e+01,6.073014e+01,7.820242e+01,6.046989e+01,5.915031e+01,     0,1.285602e+02,     0,9.948263e+01,6.747074e+00,2.184197e+01,3.119205e+02,5.274469e+02,5.298816e+02,3.179952e+02
9.426658e+01,1.297407e+02,     0,9.047081e+01,     0,2.707589e+01,2.681063e+01,7.792560e+01,6.953415e+01,6.427928e+01,2.000331e+02,2.039044e+02,2.069391e+02,1.216908e+02,1.010392e+02,9.253435e+01,2.108767e+01,4.955764e+00,     0,3.407858e+01,2.099679e+01,9.959025e+00,     0,9.952019e+01,     0,1.049377e+02,     0,     0,1.740095e+02,2.295867e+02,2.207180e+02,1.576421e+02
1.484926e+00,4.119594e-01,     0,4.561511e-01,     0,4.241219e-01,3.824297e-01,1.651349e-01,6.506987e-01,7.720771e-01,2.896820e-01,3.632951e-01,7.283181e-01,1.572545e-01,2.148873e-01,1.013527e-01,     0,9.042248e-02,1.855206e-01,1.804483e-01,1.896258e-01,2.617269e-01,     0,     0,4.973874e-02,     0,1.308723e-01,5.791884e-02,6.229102e-01,1.036198e+00,1.205133e+00,5.626096e-01
2.993635e+02,1.678999e+02,     0,1.430949e+02,     0,1.899016e+02,2.323228e+02,4.330963e+02,4.259061e+02,3.999467e+02,1.515150e+02,1.472589e+02,1.434196e+02,6.604997e+01,5.805253e+01,7.178960e+01,2.630291e+01,3.912040e+01,5.627265e+01,     0,1.106261e+01,3.113800e+01,     0,     0,2.415584e+02,     0,2.358068e+02,1.227599e+02,3.142636e+02,4.376560e+02,4.459584e+02,3.429317e+02
   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN
1.937058e+02,2.547880e+02,     0,1.715670e+02,     0,9.900809e+01,8.730065e+01,2.512297e+02,2.118622e+02,2.227468e+02,3.917199e+02,3.665186e+02,4.092866e+02,1.672710e+02,1.881668e+02,1.453182e+02,5.570813e+01,4.178587e+01,3.918422e+01,6.891534e+01,5.910324e+01,4.503423e+01,     0,1.520596e+02,     0,1.346262e+02,     0,1.249729e+01,3.366219e+02,5.076845e+02,5.071442e+02,3.356903e+02
     0,6.579945e+02,     0,3.043010e+02,     0,9.119788e+02,     0,2.453285e+03,     0,9.900551e+02,2.366151e+03,     0,3.682694e+02,6.739687e+02,1.045927e+03,9.656070e+02,     0,4.071152e+01,4.408905e+02,1.570671e+03,     0,     0,     0,3.511411e+02,     0,     0,     0,     0,1.096734e+03,7.361823e+02,9.629919e+02,3.753621e+02
